,image,ground_truth,trocr,qwenv2.5_3B,qwenv2.5_7B,smolvlm2,siglib2
35,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2353x87 at 0x793B116FC090>,حتى لا تكون هناك قطيعة تامة، وارتفعت بذلك السواحل الغربية، نتيجة انخساف الأرض،,,"""الدكتور محمد نصر الدين""",,,
36,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2129x127 at 0x793B116FC650>, لزمتك . سألت راجح هل بلغ أصحابنا ظ ع ك ، ث خ ض  ، ب س ش ، ص غ هـ,,"\[
\alpha \in \left( \frac{1}{2}, 1 \right), \quad \beta \in \left( \frac{1}{2}, 1 \right), \quad \gamma \in \left( \frac{1}{2}, 1 \right)
\]",,,
37,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2002x166 at 0x793B116FCC10>,عفيف للحج . بدأت قوافل الحجيج حاج إثر   آخر يلبي .,,"""لَمْ يَكُنَّ أَحَدٌ مِنْهُمْ يَتَّبِعُ إِلَٰهًا ۖ وَإِنَّ اللَّهَ لَمَثَّلَ إِلَٰهَهُمْ بِمَا كَانُوا يُشْرِكُونَ""",,,
38,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1982x1030 at 0x793B116FD1D0>,في الحج . هل تعلم فائدهـ الكلمات التالية لهذا النص : مشش ،,,"""في لحاج، هل تعلم عائدهم أحكامه؟ إنما الله: متنشر.""",,,
39,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2193x136 at 0x793B116FD790>,متوازن. وقد اتخذت مقاطع كتابة تشيان لونغ قوتها وحيويتها من السمات,,"""مذكوراً، وقد أخذت من مقالة (2) فقرة تُشير إلى وجود عوائق وتحديات في المدارس.""",,,
40,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2431x173 at 0x793B116FDD50>,ذهب نوح مظفى ضرغام بصحبة دؤوف بن لؤي رايق ظافر عطعوط .وهلال خازن,,"""أين نحن؟ وما هو أصلنا؟ وعندما نكون في رحلة، نقوم بعملية تأمين على الأموال.""",,,
41,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1755x821 at 0x793B116FE310>,"الكلمات التالية لهذا النص: مشمش , دراق , غيظ، ناء ,  بث , نس .",,العلمات التالية لها الفهم: مفهوم، دراسة، تعلم، ناهض، نصي.,,,
42,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1972x86 at 0x793B116FE8D0>,للحج.  بدأت قوافل الحجيج حاج إثر آخر يلبي.  عند وصولنا طفنا وسعينا مع شيخ.,,"""لديهم خبرة في تطوير وتنفيذ مشاريع تكنولوجيا المعلومات.""",,,
43,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1958x98 at 0x793B116FEE90>,أخرى من العجز  من قبيل تفضيل هيمنة النظرة القطاعية الضيقة ؛ والكفاءة غير المتساوية,,"""الحريَّة، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحرية، الحر",,,
44,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2246x161 at 0x793B116FF450>,للحج . بدأت  قوافل الحجيج  حاج إثر آخر يلبي . عند وصولنا طفنا وسعينا مع شيخ كان جاري,,"```
[29]
بِدْأتَ عَوْقَبَةُ الْعَجَّالِ حَيْثُ أَنَا أَخْفَضُ إِلَى مَسْتَعْمَلَهُمْ شَيْئًا كَأَنَّهُمْ
```",,,
45,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2412x97 at 0x793B116FFA10>,اليىئة ليست ما يحيط بنا عن قرب فقط و إنما كل شئ تىضمنه الكرة الأرضية  ، وتعتير الغابات,,"""إليك كيف تصبح رائجًا، دعنا نستعرض كيف تصبح رائجًا""",,,
46,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2421x322 at 0x793B116FFFD0>,ومن السياح الذين اختلطوا بقبائل بلاد العرب ، ولا سيما في بلاد الأنباط، من التجار وأصحاب,,وَمَا الْمَيِّتُ إِذَا خَطَأَ مَا بَيْنَهُمْ وَلا مَعَهُ فِي بَيْدَارٍ (رَبُّهُم) أَثْقَالٌ,,,
47,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2246x169 at 0x793B117045D0>,أو المحلية شبه الرسمية المستخدمة في المجتمعات المستقلة، بالإضافة إلى البدء في تعلم لغة,,"""وَإِنْ أَمَّرْتُكُمْ بِالْجَاهِلِينَ فِي الْبَيَانِ مَا حَمَدْتُكُمْ وَأَبْدَىٰ فِي كُلِّ رَجُلٍ""",,,
48,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2312x187 at 0x793B11704C10>,خوليا  دام عدة أيام اجزاء من المانيا وتسبب بفيضانات شديدة,,"""أَمْ جُزَاءَ مَنْ أَعَادَ إِلَيْهِمْ دَوْرًا مِّنْ ذَٰلِكَ ۚ وَتَسْبِبُونَ لِلْحَقِّ إِلَى الْمُتَّقِينَ""",,,
49,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1551x568 at 0x793B11705150>,: مشمش، دراق، غيظ ، ناء ،  بث ، نسر .,,مُشْتَنِر، رَدَاف، فِيْط، مُنْذِر، بِنْ، نَسْر.,,,
50,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1979x97 at 0x793B11705710>,وهلال خازن عفيف للجج. بدأت قوافل الحجيج حاج إثر آخر يلبي .,,"""لصحيح إجماع، بدأت في 1444/2023، وأُصدر بخطيّة.""",,,
51,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2484x172 at 0x793B11705CD0>,وىعي الطريقة الطبيعية للتطريد في النحل وبها يزيد من عدد طوائفه.يخزن النحل الصغير العسل في أعلى القرص,,"""وَعُدْ لِلْمَرْحَةِ الْأَطْبَابِيَّةِ أَن تُجْرِيَ الْمَرْحَةُ مِنْ صَارَانَكَ كَذَا وَأَنْ تُجْرِيَ الْمَرْحَةُ مِنْ صَارَانَكَ كَذَا""",,,
52,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1776x118 at 0x793B11706250>,بكلمات لا افهها مثل انقض بغلس له الضابط لنعتك . سألت راجح,,"""بكلمات دينهم شاء دعالي (لا) إلا أبا (أنا) ت (راهم)""",,,
53,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2194x157 at 0x793B11706810>,وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل,,و لا تَبْعِدْ عِنِّي، كُن حَارِقًا وَوَجْهُكَ لِكَلِمَاتِي (١٠),,,
54,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2013x114 at 0x793B11706DD0>, عند وصولنا طفنا وسعينا مع شيخ .كان جاري في الخيمه يتكلم وهو نائم  بكلمات,,"Here's the text extracted from the image:

""أحدكم أنتِ، نحنُ نعيشُ في الحرية، نحنُ نعيشُ في الحرية، نحنُ نعيشُ في الحرية، نحنُ نعيشُ في الحرية.""",,,
55,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1885x111 at 0x793B11707390>,خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي .,,"""لكل قيمة إيجابية، فإن |x| = x.""",,,
56,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1334x780 at 0x793B11707910>, واراق ، غيظ ، ناء ، بث ، نسر .,,"""دارم، غيظ، ناد، ابتث، نصر.""",,,
57,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2210x165 at 0x793B11707ED0>,بلغ أصحابنا ظ ع كـ ، ث خ ض، ب س ش، ص غ هـ أننا في الحج هل تعلم فائدة,,"""إذاً، مهما كان حاولت أن تحللها، لا تزال تبدو متشابهة مع بعضها البعض، مما يجعلها غير مميزة. أنا أرى الصعوبات في التمييز والتفريق.""",,,
58,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2100x157 at 0x793B117144D0>,وهلال خازن عفيف للحج.  بدأت قوافل الحجيج حاج إثر آخر,,"""هلا و حيييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييي",,,
59,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2067x90 at 0x793B11714A90>,بدأت قوافل الحجيج حاج إثر آخر يلبي . عند وصولنا طفنا وسعينا مع شيخ . كان جاري في الخيمة,,"The text in the image appears to be mathematical notation, but it is not clear what specific equation or formula it represents. It seems to be a combination of symbols and variables that could be part of a larger mathematical expression or theorem. Here is a breakdown of the components:

- \( \mathcal{C} \)
- \( \tilde{c} \)
- \( j \)
- \( \mathcal{I} \)
- \( \mathcal{J} \)
- \( \mathcal{S} \)
- \( \mathcal{P} \)
- \( \mathcal{R} \)
- \( \mathcal{Q} \)
- \( \mathcal{U} \)
- \( \mathcal{V} \)
- \( \mathcal{W} \)
- \( \mathcal{X} \)
- \( \mathcal{Y} \)
- \( \mathcal{Z} \)

These symbols likely represent different sets, functions, or operators in a mathematical context. Without additional context or a specific problem statement, it's difficult to determine the exact meaning or purpose of this notation. If you have more information about the context or the intended use of these symbols, I would be happy to help further.",,,
60,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2181x203 at 0x793B11715050>,نائم  بكلمات لا أفهمها مثل انقض بغـلس له الضابط لزمتك.  سألت,,"""٢٠١٩ أفريل متن اغفند بلدي ٩ الفاتح / فنادك سأنت""",,,
61,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2112x129 at 0x793B11715610>,اوكسيد الكربون على الاطلاق . أو تقوم الكائنات الحية الدقيقه,,"""أكسيجين | أكسجين (طريقة) | أكسجين (طريقة)""",,,
62,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2082x139 at 0x793B11715BD0>,المرتبطه  بنظام الشريعه العامه كالتسميه  عند الطعام وإفشاء السلام,,"""أَشْتَمُّ بِنَا، أَنْهَرَ مَا لَمْ يَسْتَطِعْ مِنْ (عَلَى) وَ(فَضْلَ)""",,,
63,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2322x159 at 0x793B11716190>,ذهب نوح مظفر ضرعام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,,"""الدكتور (محمود مصطفى) ، أستاذ جامعي، (23/10/1972 - 15/04/2022)، أستاذ في كلية الآداب والعلوم الإنسانية، جامعة الأزهر.""",,,
64,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2316x173 at 0x793B11716710>,بإجمال:  إن دراست  القضايا الصرفيه الكثيره التي يحفل بها الشعى العربي,,"""الحروف والرموز التي لا يمكن ترجمتها إلى لغة أخرى، ونستخدمها في البرمجة والكود.""",,,
65,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=399x495 at 0x793B11716CD0>,للتبادل الحر,,"""للبابا دند / دند""",,,
66,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2443x159 at 0x793B11717290>,ذهب نوح مطفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن,,"""وَإِنْ خَلَّيْتُمْ مِنْ أَهْلِ الْجِبَالِ زَرْعَةً فَأَنْتُمْ كُنتُمْ كُفُوًا وَبُعْدًا""",,,
67,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2236x95 at 0x793B11717850>,تتكون المركبات العضوية من عنصري الكربون والأوكسجين بشكل أساسي وان,,"""نُوَرْنَا أَيْمَانَهُمْ فِي سَبِيلِ اللَّهِ إِلَّا أَن يُصْحِبُوا مَن يُصْحِبُونَ""",,,
68,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2119x110 at 0x793B11717E10>,حيث تعانى شعوب هذه الدول من الجفاف والمجاعة منذ اكثر من عشرة .,,"""لَمْ يُجِبَ نَارٌ أَسْمَعُ لَهُ أَرْوَىٰ ۱۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰�",,,
69,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2363x198 at 0x793B11724410>,على حال قبل الإسلام تمييزاً وتفريقاً لها عن الحالة التي صار عليها,,"""الإمام صاحب الإشارة تبيّنوا و تعرّفوا أنه من أحكام الشرع صادر مسلم""",,,
70,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2143x108 at 0x793B117249D0>,من غير معنى و لا سبب . ولكن حسه هذ  حس الصحراء، وليس في الصحراء غير نغم واحد ،,,"""مما يدل على أن f(x) ≠ 0""",,,
71,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2450x173 at 0x793B11724F90>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,,"""أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك، أنا أحبك،",,,
72,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2025x1124 at 0x793B11725550>,أننا في الحج. هل تعلم فائدة الكلمات التالية لهذا النص: مشمش,,"Here is the text extracted from the image:

أُنا في الرجع. هاد تعلم ضائدة الملمحان النتالي لحد الله: متشت",,,
73,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2092x120 at 0x793B11725B10>,"معها ، و من هذه الصور الكثيرة التي يقع فيها التشابه "" المثل الشعبي""",,"""الْمَسْجِدُ أَكْبَرٌ مِّنَ الْقَضَاءِ وَأَكْبَرٌ مِّنَ الْتَقَانِ""",,,
74,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1993x109 at 0x793B117260D0>,او نصوصاً طويله أْخذت منه، حتى يسهل علي الحكم من قراءتي.,,"""إذا تم تعيين الحوافز كنسبة مئوية، فإن قيمة (أ) تساوي (ب)""",,,
75,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2105x271 at 0x793B11726650>,مما يؤدي الى بروز عصر مناخي جديد سماه العصر البشري.,,مما يُودى الى بروز عام مساهم جديد اسماء الحمر البشري,,,
76,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2345x177 at 0x793B11726BD0>,رهو نائم  بكلمات لا افهمها مثل انقض بغـلس له الضابط لزمنك,,"""النسبة المئوية للصيادين (C) = (عدد الصيادين / عدد السكان) × 100%""",,,
77,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2280x154 at 0x793B11727190>,"مذهب الغالبية التي تجعل بداية  سنة ""115 ق  . م""، عرفنا أن تاريخ هذا النص",,"""لدينا حسابات التي نحصل على قيمة مضافة 100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",,,
78,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2252x140 at 0x793B117276D0>, سنة 1888م، و كانت رحلته هذه جدا، إذا حصل على اثار,,"\[
\left| \left( S_1 \right)_{\alpha} \right| \geqslant \left| \frac{1}{2} \int_{0}^{1} \left( f'(x) - g(x) \right)^2 dx \right|
\]

This expression represents an inequality involving the norm of a difference between two functions \( f \) and \( g \) over the interval \([0, 1]\). The integral on the right-hand side is the squared difference between the derivatives of \( f \) and \( g \), integrated from 0 to 1, and then divided by 2.",,,
79,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1958x118 at 0x793B11727C50>,كثيره  والقناطر قليلة . وكانت الأحمال تنقل على ظهور البغال أو الخيل,,"""كنوز و ألغاز عذبة، وَالنَّاسُ يَنْفِرُونَ (٢٨) طَهُورٌ، رَحِمَانٌ""",,,
80,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2328x133 at 0x793B1172C210>,ونصوص وكتابات عربية كتبت بلهجات مختلفة   ، منها ما عثر عليه,,"""رغم أن رأيي استناداً إلى آراء كثيرة، أنا أشعر أنّ""",,,
81,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2075x119 at 0x793B1172C790>,الاال متواضعة، وكانت تلك الطاقة مستمدة من الشمس التي تمثل عنصرا,,"""الله هو الحمد، وَإن كان ذلك أطلاً كُمْ مُسْتَدِينٌ في السرور، إِنَّهُمْ سَكَنُوا""",,,
82,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1586x247 at 0x793B1172CD10>,والعتبات وهنا تظهر المراوح الفيضية والهول الفيضية بدور عدد الاتصال.,,و الفاينر ده تاهم / ١٠٢ / ٦٢ الغرضية و / العجلة الغرضية بـ جم / ٥٠ / ١٢٤,,,
83,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2130x152 at 0x793B1172D290>,الصوبة الحضراء والتى يتكون معطمهَا من بخار المَاء، وثاني أكسيد,,"""الحُرَيْثُ طَرِقُ وَالْأَبْوَرُ مَكَانٌ وَنَزَعُ المَأْكُورُ""",,,
84,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2164x198 at 0x793B1172D810>,هل بلغ أصحابنا ظ ع ك ، ث خ ض، ب س ش، ص غ ه,,مَا يَعْلَمُ أَنَّهُمْ بِطَاعَةِ اللَّهِ تَحْضُرُ، وَسَيُوْزُّمُونَ,,,
85,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2473x182 at 0x793B1172DD90>,وتتسح بالعمومية والتوحد في طبيعتها. وتضح المرحلة ستة صفوف تستغرق ست سنوات دراسية,,و نَسْرُمُّ لا هُوَ مُوجِهٌ وَ أَنْتُمُوا فِي أَلْيَمِيْنَا (14) وَ سَفَرُونَ تَشْرَقَ بِمَا سَعَدُوا (15),,,
86,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1242x927 at 0x793B1172E310>,للمحافظه على حياتها في الدفاع والهجوم .,,للمحافظة على حياتها في الدفاع والهجوم,,,
87,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=461x865 at 0x793B1172E890>,البحر.,,"The text in the image is ""المحتوى"".",,,
88,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2278x109 at 0x793B1172EE10>, عند وصولنا طفنا وسعينا مع شيخ. كان جاري في الخيمه يتكلم وهو نائم  بكلمات,,"""من نورا طه و سعيدة بنت سليمان، كادت أن ترقص في أحضانها.""",,,
